t-SNE 1,t-SNE 2,Class
-10.223802,-7.655581,amanita
-22.675856,0.45514795,amanita
-18.73759,2.5285556,amanita
19.035662,6.5317435,amanita
31.055187,-10.117559,amanita
-15.911053,-0.88690066,amanita
-21.176426,1.2698162,amanita
11.093667,0.3916473,amanita
-6.0665326,12.658759,amanita
-5.441772,4.9150767,amanita
-1.06883,-7.8731356,amanita
-5.3905306,4.4593673,amanita
19.274988,10.243786,amanita
29.523197,-10.954663,amanita
-13.283783,-6.075891,amanita
12.154538,-8.596091,amanita
16.027569,5.9712257,amanita
-13.811052,-3.071399,amanita
19.035662,6.5317435,amanita
18.970493,0.7730892,amanita
-7.2212224,6.7921553,amanita
-20.646255,3.3988633,amanita
28.49341,-10.193645,amanita
-20.620443,5.316431,amanita
-17.910532,8.992901,amanita
-5.6495705,4.7975965,amanita
29.665436,-8.422396,amanita
21.79822,-1.513205,amanita
-20.292568,-5.6095815,amanita
-7.497848,2.7860699,amanita
5.7464437,-3.02141,amanita
-24.142792,0.8663708,amanita
31.922081,-9.716963,amanita
31.245615,-9.802706,amanita
17.092207,-4.5146556,amanita
-5.2028823,9.613195,amanita
13.537094,3.7396264,amanita
-24.478888,3.9431875,amanita
29.652819,-8.618934,amanita
8.368,3.6399875,amanita
-14.943669,4.5392723,amanita
28.460117,-7.182385,amanita
-3.9848747,4.766116,amanita
-12.074074,-7.91597,amanita
-4.834694,11.678862,amanita
-9.372419,5.715129,amanita
-7.398679,-2.4526088,amanita
-20.240797,1.7874507,amanita
28.023335,-9.59776,amanita
-4.008637,2.3129156,amanita
27.647392,-8.257735,amanita
10.420359,-3.5963871,amanita
11.467896,4.382558,amanita
-18.921047,-0.227655,amanita
31.888727,-9.640559,amanita
32.58057,-7.3230286,amanita
8.344106,4.427903,amanita
4.261272,-9.445121,amanita
11.64455,-7.791659,amanita
-0.6879504,6.06995,amanita
31.780254,-10.427386,amanita
12.901263,0.6367089,amanita
5.4711704,5.2840357,amanita
-11.906057,19.259714,amanita
-8.472411,5.874545,amanita
-12.936511,-0.94962704,amanita
-19.294954,-9.159254,amanita
2.5729513,-6.1483326,amanita
1.6512411,16.726353,amanita
19.035662,6.5317435,amanita
-10.5413885,4.4870305,boletus
5.0991874,-2.5973804,boletus
-10.456021,-8.769365,boletus
31.26956,-6.9657717,boletus
-9.543299,-5.8419895,boletus
17.601763,-4.973426,boletus
1.5856175,-15.458775,boletus
22.86161,-3.4503906,boletus
8.816786,1.562111,boletus
-0.83760875,-1.4479625,boletus
-10.002249,6.7405386,boletus
6.06774,7.272189,boletus
13.3862915,2.9498959,boletus
10.004594,6.9289107,boletus
-0.15495597,5.178028,boletus
-14.959244,-0.4679536,boletus
-5.0577254,6.5866337,boletus
9.992858,-6.629425,boletus
-14.458752,-1.4753217,boletus
12.204705,-6.747376,boletus
-23.529175,0.45547128,boletus
15.69336,-6.828027,boletus
21.519209,-4.273903,boletus
4.790208,2.704253,boletus
13.737297,3.1541257,boletus
-24.918545,2.6354518,boletus
14.183406,-3.8585591,boletus
31.879297,-5.961647,boletus
-20.950165,5.518445,boletus
12.195756,-0.13725029,boletus
-6.7640142,7.0659537,boletus
13.016184,3.3977,boletus
27.712881,-8.078865,boletus
-13.69549,7.6934934,boletus
15.014607,-3.7353735,boletus
-5.8950453,-6.785139,boletus
0.63363826,5.574553,boletus
13.504031,-5.1686406,boletus
1.7947398,0.32955235,boletus
10.322473,-7.855168,boletus
-12.763421,-4.8250084,boletus
-8.155338,2.4471743,boletus
28.443235,-5.197663,boletus
13.214808,-1.6110405,boletus
-8.512204,7.220055,boletus
-15.826139,-4.6382313,boletus
4.0951943,10.314843,boletus
11.402173,-4.0501103,boletus
20.624535,1.756473,boletus
13.13037,2.2127354,boletus
-18.490604,5.9901953,boletus
2.8376608,4.2043896,boletus
31.611406,-6.309924,boletus
10.587155,3.7322936,boletus
-7.0942216,-11.93063,boletus
1.5950345,-15.489319,boletus
24.27292,-6.5265965,boletus
-7.217774,13.792124,boletus
-14.582106,5.295393,boletus
-6.8440323,-6.7561536,boletus
-20.648113,5.012851,boletus
-10.113653,-10.611002,boletus
-7.515255,2.5188203,boletus
8.860388,-2.6390119,boletus
13.508071,-2.7463813,boletus
27.677382,-10.20892,boletus
34.63311,-7.9424825,boletus
32.830788,-12.7463255,boletus
-7.6873803,2.0941844,boletus
11.642614,11.006444,boletus
31.888996,-9.760502,boletus
-22.109142,2.1184692,boletus
-3.09937,3.0169,boletus
-5.4160933,-0.49980703,boletus
1.7861056,-5.066049,boletus
30.450949,-7.6676116,boletus
13.633517,-2.8472097,boletus
-12.258129,-8.633141,boletus
-15.8416605,13.703584,boletus
31.538511,-6.4197235,boletus
-8.999185,-0.08925802,boletus
11.496135,-9.4409685,boletus
30.491001,-8.839809,boletus
7.635303,-4.2385488,boletus
-13.908118,-0.7967099,boletus
9.33111,-5.4672546,boletus
-9.621907,2.385477,boletus
22.47237,-3.4478893,boletus
15.743069,-6.489608,boletus
1.3888776,-3.613405,boletus
6.7339106,4.597104,boletus
13.160811,-0.48836362,boletus
6.3421044,3.6226935,boletus
-1.1575105,8.792615,boletus
-8.600531,3.5866683,boletus
-15.391791,-4.675041,boletus
-10.45614,-7.143658,boletus
2.8655474,-2.1741257,boletus
-1.7266963,-3.3933434,boletus
-23.4941,4.0904975,boletus
8.954575,-1.0167345,boletus
21.392605,-6.821788,boletus
15.422115,-3.978115,boletus
13.834379,-9.276979,boletus
27.043053,-7.5381665,boletus
2.6183536,-7.8869214,boletus
31.71732,-6.8274236,boletus
-13.338945,-6.478079,boletus
10.732444,-7.511764,boletus
-13.886276,4.952597,boletus
-3.3744962,-6.851495,boletus
8.420881,-5.1125474,boletus
6.9168334,-1.1581032,boletus
15.82858,-3.816692,boletus
2.8505187,-3.0840619,boletus
12.843429,-1.4236398,boletus
-12.987329,14.031258,boletus
-13.403172,-4.4268775,boletus
14.680938,-6.706306,boletus
-1.9016864,-2.2466953,boletus
0.15959568,-2.0881932,boletus
9.619652,0.22106625,boletus
3.5798254,0.09004396,boletus
-10.437701,-6.6816187,boletus
-0.82634574,-7.091094,boletus
31.61355,-6.1938004,boletus
2.9784846,1.8096263,boletus
16.736174,-7.592932,boletus
-8.404187,1.5974919,boletus
12.190492,-7.428353,boletus
0.7676003,-1.2143116,boletus
32.699314,-12.836928,boletus
-12.2636,-7.5995817,boletus
-14.120737,0.917713,boletus
-11.719274,-2.5125349,boletus
-17.865665,1.8785276,boletus
-11.675779,4.6544247,boletus
-3.9815414,-0.7693423,boletus
16.716862,-1.3807334,boletus
-23.152912,9.675658,boletus
11.308582,3.1281722,boletus
-1.2906052,-6.380752,boletus
-4.9534717,0.39863628,boletus
-2.2517946,-7.2576404,boletus
7.593805,-1.7426654,boletus
-6.687472,6.8041215,boletus
33.29178,-9.92928,boletus
-7.305247,16.202353,boletus
0.136544,-1.6615645,boletus
-5.971333,-2.3148081,boletus
4.9592123,7.10713,boletus
8.581186,-3.1179154,boletus
31.685938,-6.4690557,boletus
-2.5581007,-9.05139,boletus
15.80423,-6.276321,boletus
-14.459936,9.917343,boletus
-1.9292115,14.530177,boletus
-8.909981,2.180701,boletus
18.192078,0.53946024,boletus
-8.769078,9.479002,boletus
-4.012232,11.232377,boletus
-4.2067275,8.016729,boletus
-4.299865,5.8921833,boletus
31.12845,-8.208654,boletus
-17.63352,1.5677758,boletus
11.182185,-1.4524195,boletus
18.832106,-5.144409,boletus
15.277688,-10.302293,boletus
-14.365072,12.656449,boletus
34.285706,-8.455653,boletus
32.77904,-8.504173,boletus
-9.264971,-4.256853,boletus
-8.736002,-8.206584,boletus
8.781186,-1.6742061,boletus
-8.172542,-6.3367963,boletus
-19.842566,1.4254658,boletus
-2.9752882,-6.3327575,boletus
16.906996,-1.3271384,boletus
13.69874,-2.663319,boletus
-3.2558732,11.640723,boletus
-5.8939934,5.1818304,boletus
3.5027118,-7.8263674,boletus
-18.508913,1.9225767,boletus
1.2493876,0.5021205,boletus
-3.3481028,6.3213243,boletus
10.038826,-5.7215,boletus
-3.3846161,2.1385777,boletus
-15.919385,-5.656289,boletus
30.903246,-6.1388054,boletus
-10.290272,-7.7759905,boletus
-5.3373275,4.978068,boletus
29.306234,-7.034503,boletus
4.8432193,-1.0350211,boletus
34.431202,-5.9457273,boletus
-12.09685,8.238317,boletus
-24.032887,1.7666435,boletus
-10.3942795,10.756441,boletus
0.97984385,4.060911,boletus
28.07036,-9.042588,boletus
2.5636923,-3.6271472,boletus
16.647823,-3.4038568,boletus
-4.905544,15.514556,boletus
-18.507238,4.3941255,boletus
-4.73818,-1.7884996,boletus
32.995564,-6.732706,boletus
7.825974,-0.1599377,boletus
-11.440624,4.5507364,boletus
-15.798152,13.6366415,boletus
-13.100872,2.0541105,boletus
11.702006,-1.2442404,boletus
27.65282,-7.051934,boletus
32.702015,-12.816215,boletus
-0.21523537,2.1720226,boletus
-0.3044415,11.404687,boletus
6.7093368,4.5741744,boletus
17.752424,-4.5491576,boletus
9.996096,-1.0244498,boletus
-15.0119,3.2879522,boletus
-15.667567,-1.2123871,boletus
-21.249203,9.309482,boletus
-3.9901733,-1.0339769,boletus
-20.210882,1.31255,boletus
-5.8473997,6.0101023,boletus
-0.39149737,6.408094,boletus
2.4765205,7.4396524,boletus
-5.4104037,5.13884,boletus
7.0517664,-6.377772,boletus
-7.0445914,-7.1652403,boletus
-14.015577,-4.7759905,boletus
-2.5924072,3.2595072,boletus
-15.332859,7.992674,boletus
10.614669,-4.081397,boletus
10.520786,-0.8153164,boletus
-15.774386,-1.23549,boletus
4.1817603,-7.956815,boletus
-7.0090938,-10.2994585,boletus
2.2541726,5.670109,boletus
-13.753882,-2.8553994,boletus
-5.042906,-4.657434,boletus
12.15843,-3.295082,boletus
15.441845,-4.551267,chantelle
8.04261,-4.9403105,chantelle
-18.166304,5.8063264,chantelle
4.076218,-9.39495,chantelle
0.9812295,-7.8615065,chantelle
17.039806,-6.4165072,chantelle
2.599336,-1.2449231,chantelle
0.93910843,-7.3631325,chantelle
-13.665223,7.56424,chantelle
-4.8992066,8.676214,chantelle
11.03899,-9.63081,chantelle
19.751474,-6.9346123,chantelle
29.084425,-9.016746,chantelle
-14.965454,4.9019647,chantelle
-1.7043759,6.8293595,chantelle
3.6264012,-8.912332,chantelle
15.824717,-2.0137904,chantelle
31.497362,-7.895361,chantelle
11.922819,5.551202,chantelle
33.991524,-5.997894,chantelle
-9.815327,8.606737,chantelle
-13.846032,9.36885,chantelle
-15.949137,-2.994593,chantelle
2.5142193,0.9073342,chantelle
15.706613,-0.7255785,chantelle
-6.1401486,8.167023,chantelle
-3.4456038,-8.91309,chantelle
34.31635,-6.8215766,chantelle
-3.459113,0.5126485,chantelle
-0.7090832,-8.398957,chantelle
1.9258953,-6.199897,chantelle
-10.166605,-3.3891203,chantelle
33.108124,-8.727731,chantelle
-0.34652674,-9.18432,chantelle
-2.620184,-13.990078,chantelle
16.63614,-3.8872867,chantelle
16.174694,-5.027891,chantelle
1.334764,-10.238338,chantelle
31.01417,-7.057291,chantelle
10.509837,-0.43939364,chantelle
-19.093983,10.134471,chantelle
-15.2756605,1.1497747,chantelle
-6.4987965,-0.16422343,chantelle
-10.025131,-4.809156,chantelle
-3.322123,-8.230129,chantelle
-21.105663,4.5513873,chantelle
7.5603,-4.560655,chantelle
33.4021,-7.9514194,chantelle
-7.7416754,3.2020674,chantelle
3.0902028,-2.5492592,chantelle
-0.28471023,4.0353885,chantelle
-7.2894483,2.3168113,chantelle
27.957376,-7.4447217,chantelle
31.560959,-9.238186,chantelle
-12.058702,-1.539971,chantelle
33.171288,-7.3102818,chantelle
-10.542594,-2.879192,chantelle
-11.804404,-1.749881,chantelle
10.625293,0.04299987,chantelle
-21.611952,5.6067457,chantelle
4.4258757,-12.018967,chantelle
26.794914,-6.910008,chantelle
-24.684116,1.2816406,chantelle
4.241901,-10.6307745,chantelle
-4.9401064,-2.319198,chantelle
-16.486942,5.366645,chantelle
10.058744,-3.8953235,chantelle
7.7545238,-5.624613,chantelle
3.6930594,-8.541573,chantelle
17.288818,-0.47805858,chantelle
1.7085451,-6.8292217,chantelle
-11.816117,-4.9876122,chantelle
13.015124,2.9762332,chantelle
-1.3570168,-4.305244,chantelle
-13.730103,-11.726157,chantelle
-13.745847,0.2431139,chantelle
13.364558,-5.1869636,chantelle
4.2765555,-3.699092,chantelle
7.4477143,5.283801,chantelle
-11.49635,2.8133914,chantelle
32.10556,-7.361436,chantelle
8.307094,-2.4253752,chantelle
30.48779,-4.8207774,chantelle
33.007683,-7.6533637,chantelle
17.856129,-6.1689262,chantelle
3.8021562,-10.300329,chantelle
3.759488,-9.262283,chantelle
-23.911852,3.4367595,chantelle
6.5114384,-9.146485,chantelle
34.25985,-6.8694983,chantelle
15.39392,-7.7740936,chantelle
32.946945,-8.46706,chantelle
4.055846,-0.48954242,chantelle
3.6806784,-8.880138,chantelle
19.767637,-5.1545753,chantelle
29.478622,-8.789483,chantelle
11.291252,1.5216415,chantelle
-21.752705,6.87352,chantelle
-5.1242256,9.202079,chantelle
2.9171884,-9.741794,chantelle
0.25304967,-0.7861872,chantelle
17.264881,-1.3574837,chantelle
-13.270823,0.7505451,chantelle
1.6969318,-9.477604,chantelle
-15.114267,0.4804236,chantelle
17.685347,-0.90478903,chantelle
0.9368174,0.048495516,chantelle
6.7927017,-12.953461,chantelle
-0.8575442,3.6962876,chantelle
-9.053187,-0.9676246,chantelle
32.629925,-12.843143,chantelle
31.96533,-8.830878,chantelle
16.697594,-2.6352415,chantelle
6.7675285,-4.640964,chantelle
-15.466842,-5.7087207,chantelle
20.561758,-4.0097075,chantelle
7.301867,-10.0258665,chantelle
33.329697,-5.586232,chantelle
-4.432439,-8.13743,chantelle
-15.187386,2.8589427,chantelle
32.059784,-8.254381,chantelle
21.865875,-4.2003765,chantelle
