UMAP 1,UMAP 2,Class
-3.3655636,6.1414566,amanita
-3.6476731,6.6594963,amanita
-3.5217545,9.28712,amanita
-3.938287,7.016029,amanita
0.099707,11.034681,amanita
5.1431937,8.574633,amanita
-5.108102,7.8217897,amanita
-0.785959,9.498374,amanita
-0.1570491,8.791134,amanita
-4.9094095,6.9279723,amanita
0.2059753,9.5656395,amanita
0.45426872,9.707777,amanita
-3.5922253,6.1696453,amanita
-6.1876607,5.6071835,amanita
5.119663,8.502095,amanita
-5.6676974,4.985698,amanita
-3.9271307,6.4034386,amanita
-3.8504274,6.6808996,amanita
5.0235085,8.71226,amanita
1.1063476,8.899038,amanita
-5.860816,7.0388017,amanita
-4.3334665,6.8026323,amanita
-1.5663308,8.6877985,amanita
-6.2592664,5.4347253,amanita
5.600809,8.938454,amanita
5.528243,8.746115,amanita
0.73460805,8.939616,amanita
-3.224972,6.45459,amanita
-0.3029031,7.843391,amanita
-6.4005823,5.5923386,amanita
4.960462,8.615476,amanita
-1.8018776,8.426908,amanita
-4.8939037,5.94124,amanita
4.9554896,8.7235365,amanita
-4.043255,7.52457,amanita
-3.5406752,6.4375777,amanita
-2.73212,6.216446,amanita
-3.9679892,6.9412613,amanita
-4.402238,7.3064966,amanita
-6.321228,5.747782,amanita
4.8106546,8.467219,amanita
-3.702346,7.669053,amanita
4.5982614,8.611785,amanita
-0.94356126,8.7697735,amanita
-0.869999,7.8177233,amanita
-5.938226,6.2522993,amanita
5.680303,8.888219,amanita
5.1965804,9.055832,amanita
-1.8152314,7.727423,amanita
-2.4479752,9.577676,amanita
-0.7458538,9.203434,amanita
-2.7383373,7.199519,amanita
5.5929008,8.755779,amanita
-0.3611616,8.355511,amanita
-1.7222308,7.2233906,amanita
-4.2451415,6.958703,amanita
-4.502646,6.7292366,amanita
-4.983955,6.681028,amanita
-2.9553695,6.413112,amanita
-2.8127632,8.799695,amanita
-4.515967,7.5862703,amanita
0.19742407,9.579581,amanita
-3.9079795,5.7371655,boletus
-2.8558755,9.010048,boletus
-3.788074,5.118289,boletus
5.094347,8.961399,boletus
-2.914694,5.808337,boletus
0.49166787,9.426329,boletus
-0.06811027,10.594375,boletus
1.3692592,9.266614,boletus
-0.991198,8.075347,boletus
-2.8447692,7.779672,boletus
-4.2962675,6.6681724,boletus
-2.3657434,7.7916656,boletus
-0.27624843,7.8920336,boletus
-3.2117612,8.16442,boletus
-3.204213,7.5820837,boletus
-5.4106975,5.9106927,boletus
-2.6903596,6.916412,boletus
-0.9859252,8.911939,boletus
-5.1647534,6.297959,boletus
-0.7661319,9.144067,boletus
-6.127546,5.478827,boletus
-0.40808398,8.847554,boletus
1.3465829,9.072662,boletus
-2.282467,7.943578,boletus
-0.22701602,7.85221,boletus
-5.935344,5.496786,boletus
-1.2368673,8.942243,boletus
4.7313733,9.204114,boletus
-5.843172,5.2721257,boletus
-0.7298293,8.543244,boletus
-3.1077347,5.9685903,boletus
-0.45665163,7.8442492,boletus
4.7355776,8.658719,boletus
-4.1640315,5.6477795,boletus
-0.0038500833,8.75186,boletus
-3.7788148,7.318686,boletus
-3.1158962,7.461773,boletus
-0.3547494,8.103713,boletus
-2.9181619,8.306726,boletus
-1.3807428,9.312307,boletus
-3.8033438,6.6492367,boletus
-4.3179016,7.2744656,boletus
4.532716,9.117718,boletus
-0.73464906,8.926431,boletus
-4.6394734,6.8758984,boletus
-4.738934,4.961164,boletus
-3.5788836,7.633218,boletus
-0.92437804,9.0662565,boletus
0.6111596,9.892788,boletus
-0.12517965,7.986159,boletus
-5.2518187,5.397023,boletus
-2.4141695,7.899204,boletus
5.027813,9.138622,boletus
-1.1591128,8.467744,boletus
-3.7035322,8.394389,boletus
-0.02291654,10.84486,boletus
1.8849224,9.015993,boletus
-3.677122,6.8184333,boletus
-4.5602055,5.864828,boletus
-3.0608861,5.86294,boletus
-5.8547225,5.116141,boletus
-3.2344902,5.0627604,boletus
-4.0295362,7.02777,boletus
-1.429157,8.59115,boletus
-0.8249758,9.309352,boletus
4.96158,8.507495,boletus
5.2594104,9.22737,boletus
5.8394485,8.362211,boletus
-4.2607303,6.833354,boletus
-0.04984273,9.869467,boletus
5.7008133,8.830902,boletus
-6.3823566,5.4595056,boletus
-3.9549649,8.006532,boletus
-4.134793,7.565214,boletus
-2.9018362,8.748088,boletus
5.142761,8.912534,boletus
-0.67875797,9.056998,boletus
-3.620013,6.660325,boletus
-3.63208,5.795542,boletus
5.0447288,9.126336,boletus
-4.2819347,8.196767,boletus
-0.3671041,9.324446,boletus
5.2208343,8.655053,boletus
-1.5545399,9.15731,boletus
-4.7148027,7.8611383,boletus
-1.2181263,9.159578,boletus
-4.201048,6.4670267,boletus
1.2878505,9.379992,boletus
-0.27558738,8.952372,boletus
-2.0810535,7.4640493,boletus
-1.8581281,7.80253,boletus
-0.75743574,8.558181,boletus
-1.9980934,8.10291,boletus
-2.7429266,6.628165,boletus
-4.0623775,7.4222507,boletus
-4.517992,5.100355,boletus
-3.5898006,5.74251,boletus
-2.3048604,8.7237,boletus
-1.3761355,8.246438,boletus
-6.5364766,5.2170267,boletus
-0.89945334,8.569802,boletus
1.4122959,8.766453,boletus
0.07741171,8.897784,boletus
-0.29926842,9.644763,boletus
4.50266,8.658842,boletus
-2.712097,9.264015,boletus
5.0863004,8.984439,boletus
-4.509658,8.547293,boletus
-1.1047522,9.40295,boletus
-4.2893143,6.380528,boletus
-4.285758,8.8123045,boletus
-1.43785,9.093155,boletus
-1.4131021,8.912121,boletus
0.2520034,9.004757,boletus
-2.0835357,8.086034,boletus
-0.6394641,8.85617,boletus
-4.711333,6.1979427,boletus
-4.0964875,8.580791,boletus
-0.059444025,9.07984,boletus
-2.7118654,7.953163,boletus
-2.8296077,8.187,boletus
-1.0007526,8.615095,boletus
-2.1367936,8.265831,boletus
-3.8335993,6.2853994,boletus
-3.522796,8.817325,boletus
4.953567,9.072073,boletus
-2.2094657,8.023915,boletus
0.20118059,9.318462,boletus
-5.0431986,6.4981084,boletus
-0.51420724,9.113711,boletus
-3.060757,8.441371,boletus
5.786,8.320645,boletus
-3.670595,6.6525526,boletus
-5.6583147,6.833612,boletus
-4.5874,8.270035,boletus
-5.991923,6.2424655,boletus
-4.5668025,5.796898,boletus
-3.5588367,8.060172,boletus
-0.040362768,9.418652,boletus
-4.650953,6.2797604,boletus
-0.6609772,8.244396,boletus
-3.3519692,9.00893,boletus
-4.072214,7.698753,boletus
-3.9289339,8.955826,boletus
-1.4403617,8.728983,boletus
-3.1893928,6.020141,boletus
5.3202276,8.885786,boletus
-4.5141478,7.4563847,boletus
-2.7290864,8.24754,boletus
-4.483979,8.068053,boletus
-1.9569923,7.6194773,boletus
-1.3853133,8.920546,boletus
5.0295057,9.09066,boletus
-3.7448242,9.103951,boletus
-0.17137772,8.931712,boletus
-4.538945,5.5684853,boletus
-2.5612853,5.961168,boletus
-4.51076,7.047488,boletus
0.24917951,9.713676,boletus
-4.499981,5.8142157,boletus
-3.0577066,6.6362596,boletus
-3.0104077,6.130566,boletus
-2.9149592,6.843522,boletus
5.204357,9.005065,boletus
-6.022408,6.332714,boletus
-0.8404521,8.3847065,boletus
0.52669394,8.727623,boletus
-1.4262707,9.349734,boletus
-4.098108,5.9694347,boletus
5.306954,9.434317,boletus
5.392866,9.283987,boletus
-3.3002446,5.325909,boletus
-3.3543966,5.4786716,boletus
-1.1354653,8.882133,boletus
-2.774736,5.574776,boletus
-5.9838953,5.7139254,boletus
-4.015302,9.017448,boletus
-0.25947246,9.41181,boletus
-0.90921926,9.170466,boletus
-2.6888103,6.306013,boletus
-3.6164985,6.607958,boletus
-2.2949364,9.0376,boletus
-6.0963893,6.159718,boletus
-3.1139007,8.17439,boletus
-2.6670544,7.6078076,boletus
-1.4477239,8.972365,boletus
-3.4515004,7.7597995,boletus
-4.618221,5.034579,boletus
4.9645395,9.138325,boletus
-3.3813233,5.6145306,boletus
-3.5376713,6.7726536,boletus
4.8675966,8.912658,boletus
-1.9380176,8.740832,boletus
5.0188293,9.657799,boletus
-4.528939,6.091784,boletus
-5.9945393,5.2031536,boletus
-3.7803605,7.1981554,boletus
-3.1507447,7.9238563,boletus
4.744084,8.521156,boletus
-2.1946023,8.671304,boletus
0.13036004,9.317215,boletus
-2.5383923,7.204032,boletus
-5.191081,5.4121847,boletus
-4.0294247,8.258516,boletus
4.9776273,8.965615,boletus
-1.4914095,8.540022,boletus
-4.1305957,5.699865,boletus
-3.983914,5.864988,boletus
-5.471942,6.7187586,boletus
-0.6596619,8.425949,boletus
4.679104,8.7830305,boletus
5.8096924,8.313381,boletus
-3.3622088,8.126906,boletus
-2.4009185,6.1794596,boletus
-1.953707,7.904561,boletus
0.6545029,9.081623,boletus
-1.0967894,8.805181,boletus
-4.7891927,6.2163754,boletus
-5.252355,5.7873707,boletus
-4.7854266,5.107147,boletus
-3.6070626,7.9691234,boletus
-6.252934,5.853497,boletus
-4.0784583,5.61468,boletus
-2.3916912,6.8990464,boletus
-2.8490624,7.5157967,boletus
-3.5893726,6.794076,boletus
-1.9379796,9.106607,boletus
-3.0479672,5.5942574,boletus
-4.563461,5.337942,boletus
-3.6436858,7.754505,boletus
-4.9174566,5.8044868,boletus
-0.99772984,8.470793,boletus
-0.93556035,8.286098,boletus
-5.5251207,6.1196966,boletus
-2.7755933,9.272886,boletus
-3.969046,4.980224,boletus
-2.5813882,7.6509533,boletus
-5.363384,7.3468294,boletus
-3.389329,7.438163,boletus
-0.7378484,8.869255,boletus
-0.17158748,8.922127,chantelle
-1.5272025,9.24908,chantelle
-5.6660714,5.1886277,chantelle
-2.4181087,9.6355715,chantelle
-3.4063432,9.276747,chantelle
0.36059538,9.081206,chantelle
-2.5330575,8.518643,chantelle
-3.653573,8.537819,chantelle
-4.5383844,5.7079196,chantelle
-3.0873885,6.802987,chantelle
-0.97785646,9.523266,chantelle
4.120578,8.900646,chantelle
4.894167,8.751257,chantelle
-4.855903,5.647773,chantelle
-3.2745652,7.232751,chantelle
-2.6633174,9.364188,chantelle
0.10364831,9.428906,chantelle
5.366644,8.937817,chantelle
-1.8262211,8.541226,chantelle
5.0408287,9.588026,chantelle
