PCA 1,PCA 2,Class
-432.3312822345441,-56.02573603162551,amanita
3.33777181671513,0.9647581824925658,amanita
-251.4212192839696,7.080388424280169,amanita
-125.88847218640848,-69.80166865785175,amanita
-182.1958424105649,-41.14335780312566,amanita
12.33425134448495,-50.28931978562396,amanita
-201.6137496488656,-43.84792202342144,amanita
-106.69957727513304,-23.460610845490383,amanita
-154.00776389753878,-79.70938124960885,amanita
-99.43436306589236,116.05004404158304,amanita
713.1483596213768,12.27987588244004,amanita
-213.45755275505795,47.02509930735594,amanita
-69.3471548736847,7.478485832450997,amanita
275.40684753686554,121.75154289594953,amanita
-223.24563693605367,-45.35351153465432,amanita
15.774747929583487,99.68278369946675,amanita
-347.1134199963605,10.199013711183651,amanita
739.0960530258268,177.75278256758176,amanita
736.7813411528269,131.85007010572585,amanita
-4.39348897203188,21.852311270484243,amanita
-131.25333538359848,28.60246674110833,amanita
-218.34905737205312,93.31261756204256,amanita
-41.83514298000714,-18.94763462779169,amanita
171.80346220481889,28.13498450861785,amanita
21.543435772438084,62.01668120212363,amanita
665.5198398201454,80.21419339680004,amanita
-63.329845664279446,31.31720095999525,amanita
-131.78002193130467,-11.478117058609069,amanita
-27.494069960011142,-1.4820306409299866,amanita
-221.70303280626317,7.459567020755157,amanita
-105.72294225258406,-15.235019590497137,amanita
-123.33442162571365,-58.38964037352704,amanita
596.2636881731502,110.31817655882688,amanita
-326.0174309381683,73.3822233143583,amanita
425.70682941419466,193.3569655996613,amanita
-123.2814842220962,-12.28466184603352,amanita
617.7050010002314,61.62038848710283,amanita
-75.06761999284154,-40.024632368627934,amanita
-176.4827447286636,122.22596419744242,amanita
-249.3071177842614,-21.299047659976797,amanita
-104.9457529443078,-108.9969029025804,amanita
-30.01987616738912,-90.76998617309138,amanita
3.33777181671513,0.964758182492486,amanita
619.8260555337237,68.7309082946826,amanita
-13.56786559103588,-5.60728327828383,amanita
13.01897490522621,-26.43683053891288,amanita
-20.76163974251082,-8.819951547958254,amanita
-213.22935855689173,10.112449476395309,amanita
-76.90173269582306,13.926769621399243,amanita
-84.71051872560216,-48.6543554713167,amanita
31.583245856090382,-49.24423786754347,amanita
-63.44952991269006,77.76303517576491,amanita
117.13401871399346,-3.3118659558411787,amanita
-23.335645565591708,-57.39433804008461,amanita
66.60028393011477,-114.88885792981172,amanita
672.5429978485982,-115.50024242803934,amanita
-262.69023685332763,-54.16511093185391,amanita
-9.990838614005716,-52.12103029083494,amanita
293.01084133855403,77.90915951241419,amanita
-154.09426403664426,89.438268387169,amanita
606.5388992783965,74.27832205267313,amanita
-172.85800789653925,-9.301076881439927,amanita
-213.2835664914352,55.532316253096496,amanita
0.6910661258201907,191.4219354181314,amanita
-163.87067568767722,5.529769155591291,amanita
-325.8036475520014,-49.496247106185,amanita
-88.42091467405878,23.118189103351565,amanita
728.687730967443,6.637465122984466,amanita
-5.035894517776703,-52.54506681579964,amanita
-271.63223582458807,-37.84585618699419,amanita
-299.3212981709801,74.7336447289277,amanita
61.590703453608114,-48.48854564617282,amanita
-167.60040140599153,186.16532604741064,amanita
-308.3641197897089,-29.725582243388693,amanita
773.1394203407137,120.06280697821676,amanita
3.33777181671513,0.964758182492486,amanita
102.90650540310672,-23.52315155376987,amanita
597.4164177656107,136.95883172272056,amanita
434.0887761940787,-80.73022274421479,amanita
-12.8964671052393,-46.80513351620692,amanita
-122.28449037783116,-56.39508182288456,amanita
571.178050255326,-32.35877081382007,amanita
-412.27117660864025,-123.95833403882013,amanita
-516.2496307849506,-73.55109905894535,amanita
313.6458885331138,-51.90333053980122,amanita
-267.16720956439406,-28.89528129083005,amanita
605.1171588985292,157.14072691905312,amanita
-99.43436306589236,116.05004404158304,amanita
190.4587614379556,-271.9482645443441,amanita
729.7879072090955,76.00898566854114,amanita
-39.19612028965626,-25.503636064207484,amanita
-212.4152045596986,51.17346312563151,amanita
-39.600865593885175,15.976416684133676,amanita
60.77690262141606,30.04686759135737,amanita
-9.829531045808212,-1.3181037092238417,amanita
-59.74009493221524,-43.75808607260914,amanita
-360.47838360261096,11.094999039395832,amanita
-353.8688985017423,-35.13702499426643,amanita
6.854578326512985,-55.24372814107263,amanita
-100.30095762450917,10.084461339283244,amanita
24.008850306747167,14.54451554633274,amanita
166.55203671261415,-43.5596691304074,amanita
75.88591440050546,-23.41570579219059,amanita
608.0728842363012,14.043583986157923,amanita
-123.02281736020194,83.37781589896143,amanita
206.8113447218869,-10.663608127667684,amanita
-80.40836507448051,-36.21857964882634,amanita
-41.61061456107616,-43.50864733885908,amanita
-225.6634530805881,-37.55181643180067,amanita
654.5200175718716,81.68081993598915,amanita
-112.91443940400126,-22.622633407695712,amanita
-164.393976500505,-109.38789318852238,amanita
-116.77362697952276,-17.66525141612396,amanita
452.6738321015499,93.4229399747231,amanita
-268.9860821206991,-45.56652575196279,amanita
280.4780240031044,-92.57132204989593,amanita
35.72626645661876,114.4784763237244,amanita
-167.68612517904714,-34.55769540663896,amanita
-384.2396801627946,-29.924213048368348,amanita
-147.76960336029424,23.85872875757219,amanita
255.7711684288827,-62.10605193130155,amanita
275.35725781325567,4.536212751027774,amanita
-183.06901293629147,-33.460958387870285,amanita
310.2461351011887,-117.77624697776034,amanita
-215.51946775986724,-53.0964354332701,amanita
577.5227291531011,43.38921459249529,amanita
301.0326825004964,-26.76409904726909,amanita
-314.291104089661,-21.693895454271903,amanita
-215.1891974102744,44.54948146376277,amanita
