UMAP 1,UMAP 2,Class
-3.9721272,6.0560226,amanita
-4.5791264,6.7652264,amanita
-3.6818814,9.089385,amanita
-4.4666834,6.985034,amanita
-0.005161832,10.3705435,amanita
4.2326536,7.618699,amanita
-5.4988427,7.6101303,amanita
-0.92557627,9.118936,amanita
-0.38517368,8.32586,amanita
-5.5171514,7.250202,amanita
-0.19050556,8.988236,amanita
0.11749885,9.135,amanita
-4.080631,5.7595854,amanita
-6.942894,6.2130675,amanita
4.183353,7.582679,amanita
-6.6271467,5.5305433,amanita
-4.810385,5.9302573,amanita
-4.6863422,6.8351703,amanita
4.1877303,7.8484225,amanita
0.8733126,8.281292,amanita
-6.1490083,7.5176663,amanita
-4.8549423,6.80944,amanita
-1.9130852,8.167221,amanita
-6.9412284,5.8204503,amanita
4.8104005,7.873752,amanita
4.69144,7.7001257,amanita
0.44044968,8.353338,amanita
-3.931413,6.2697434,amanita
-0.46357462,7.328056,amanita
-7.335837,6.2206655,amanita
4.1086926,7.6622443,amanita
-2.0158641,7.6941934,amanita
-5.6411304,6.338331,amanita
3.9723382,7.788513,amanita
-4.510401,7.671876,amanita
-4.5773206,6.6618686,amanita
-3.5198503,5.8657613,amanita
-4.6298,6.631873,amanita
-4.9864845,7.221937,amanita
-7.1619306,6.227827,amanita
3.9040139,7.641435,amanita
-3.9755523,7.511402,amanita
3.7510543,7.848643,amanita
-1.4488541,8.392427,amanita
-1.2846956,7.354198,amanita
-6.6664457,6.7303505,amanita
4.769951,7.8088536,amanita
4.4496064,8.154036,amanita
-2.250529,7.4035406,amanita
-2.611386,9.2385,amanita
-1.1797435,8.915672,amanita
-3.2660775,6.9773836,amanita
4.6899877,7.6844673,amanita
-0.48958233,7.696825,amanita
-2.2580507,6.8518376,amanita
-4.220662,6.90027,amanita
-4.9428687,6.3821692,amanita
-5.5144696,6.975916,amanita
-3.7624586,6.080083,amanita
-3.2453768,8.379897,amanita
-4.8936725,7.624146,amanita
-0.2519699,9.0319805,amanita
-4.602964,5.5730104,boletus
-2.5322325,8.498247,boletus
-4.8761973,5.050686,boletus
4.278083,8.002509,boletus
-4.099632,5.5609856,boletus
0.25467706,8.724748,boletus
-0.22356078,10.040876,boletus
1.1765935,8.607634,boletus
-1.5343353,7.5799656,boletus
-3.4895082,7.5536647,boletus
-5.121975,6.4367704,boletus
-2.7074547,7.4239216,boletus
