t-SNE 1,t-SNE 2,Class
17.78539,-0.51019377,amanita
15.429741,6.316379,amanita
31.555191,0.8033761,amanita
-7.188599,-14.3208475,amanita
15.823297,-4.6255884,amanita
-1.7196497,3.4804926,amanita
0.7931499,4.2762733,amanita
-19.490154,1.0046512,amanita
31.8939,0.44787365,amanita
-9.020769,9.02747,amanita
-14.360368,5.195263,amanita
-10.175319,11.317973,amanita
34.992485,-2.729489,amanita
-22.188015,5.531205,amanita
20.786665,0.6528128,amanita
-6.315679,-15.496077,amanita
-10.095001,4.0802054,amanita
-23.27534,2.7672985,amanita
-8.776229,-4.8107905,amanita
19.983088,-1.823568,amanita
20.668224,0.34132487,amanita
-17.210592,6.629758,amanita
22.070992,-3.2821314,amanita
-14.578,3.5783381,amanita
29.986462,0.8964531,amanita
20.586262,0.2657598,amanita
-20.912945,4.549612,amanita
-20.491108,8.137394,amanita
5.88438,-8.790774,amanita
-10.746306,4.600285,amanita
-5.6916738,-8.186157,amanita
-3.8253539,-2.0385606,amanita
-15.83275,3.2889776,amanita
-15.073476,5.658685,amanita
7.0222993,-15.959099,amanita
22.49804,0.65132636,amanita
-3.8519123,15.155562,amanita
9.43597,-6.8899293,amanita
7.516711,7.9909697,amanita
35.799976,-1.4600714,amanita
-12.278945,9.4020815,amanita
18.001013,-1.0470258,amanita
2.1625636,13.702739,amanita
-21.83968,5.1106715,amanita
0.21504632,10.557511,amanita
14.785093,-10.13865,amanita
9.665994,-3.4857266,amanita
16.369898,-0.15649007,amanita
32.435722,0.66450906,amanita
9.956387,0.035377614,amanita
-2.7087667,-15.547603,amanita
20.199343,-2.0737865,amanita
-14.591101,-9.898778,amanita
13.955924,-1.7778097,amanita
-16.118008,3.6938732,amanita
10.616626,1.2315518,amanita
11.903969,-2.142428,amanita
-8.02,5.220415,amanita
-18.940893,1.0135686,amanita
0.7038481,0.2681947,amanita
18.020529,0.59389925,amanita
7.0222993,-15.959099,amanita
-8.675607,5.7442284,amanita
28.15868,0.2455814,amanita
-23.5153,2.6105232,amanita
6.607668,-3.8883045,amanita
-4.5305963,1.21782,amanita
-6.401299,-12.916602,amanita
-22.317282,6.2181973,amanita
-18.860964,4.469323,amanita
24.305649,-7.923407,amanita
32.96021,0.13318743,amanita
-17.532465,0.57056254,amanita
-20.74371,5.530958,amanita
11.591759,-4.287999,amanita
-8.074372,-3.2429748,amanita
-5.691923,-8.186197,amanita
0.03997208,8.814246,amanita
-5.850508,-7.1795897,amanita
19.105228,-11.826998,amanita
31.913202,-1.2247404,amanita
-9.888807,8.369085,amanita
9.209607,-5.9761205,amanita
14.785093,-10.13865,amanita
-12.902253,8.970703,amanita
24.305649,-7.923407,amanita
19.06892,-6.059752,amanita
-17.956158,-11.812773,amanita
-20.600445,3.2375216,amanita
30.650526,-1.0456266,amanita
-21.258287,0.93091595,amanita
-13.222838,-1.4812315,amanita
-5.725679,-8.171013,amanita
31.000164,1.0871207,amanita
22.070951,-3.2819319,amanita
-13.624544,11.057981,amanita
-8.652491,2.1254213,amanita
5.5637608,-4.4140086,amanita
-23.996607,5.536763,amanita
33.58571,0.851593,amanita
33.009254,0.48718372,amanita
17.926458,0.11580844,amanita
-9.283542,-0.9118029,amanita
15.228063,-4.5319886,amanita
-20.16942,5.1346583,amanita
31.077654,0.8801774,amanita
10.457487,5.0904164,amanita
-16.536707,-1.4970042,amanita
29.384241,1.6833587,amanita
-5.2088203,-0.5191366,amanita
-6.4418416,-9.777544,amanita
-2.546573,-9.438333,amanita
-7.895841,-2.6234655,amanita
-8.593904,6.120011,amanita
-19.708248,4.1295958,amanita
30.037926,-0.69402003,amanita
-3.5792308,1.4258442,amanita
29.202713,0.36808792,amanita
8.924544,-4.3259478,amanita
12.598643,1.4629681,amanita
-18.19478,6.300374,amanita
33.525955,0.90574384,amanita
33.210407,3.3071039,amanita
11.750609,8.232572,amanita
7.1233706,7.639367,amanita
9.132355,-5.8454394,amanita
-2.353127,-1.41702,amanita
33.75797,0.14755474,amanita
14.026478,-3.0363114,amanita
3.1178226,-8.120287,amanita
-5.045918,-4.7799397,amanita
-10.445856,1.6964158,amanita
-15.521405,0.17556746,amanita
-13.177664,13.958465,amanita
3.056228,4.624886,amanita
-15.012731,12.007313,amanita
24.305649,-7.923407,amanita
-11.436005,-9.333564,boletus
5.7899117,2.0618944,boletus
-9.079156,-12.583711,boletus
31.908558,3.178977,boletus
-9.147034,-11.015704,boletus
18.423252,1.549247,boletus
16.057936,8.638875,boletus
22.370852,1.6982764,boletus
10.618784,-4.7155433,boletus
0.4522979,3.2937953,boletus
-9.333297,1.0312824,boletus
2.4495718,-4.6854753,boletus
15.046197,-4.932217,boletus
4.301514,-5.5583982,boletus
-3.1637688,-1.1197836,boletus
-17.105268,0.380578,boletus
-3.931002,-5.949482,boletus
7.911423,-4.493647,boletus
-16.323427,8.898231,boletus
10.007394,-5.3270936,boletus
-23.454338,5.6017294,boletus
12.189667,3.0769582,boletus
21.629135,0.023618676,boletus
3.3079073,-0.44923908,boletus
15.409823,-5.081317,boletus
-25.083546,2.7906528,boletus
12.119049,-5.7836814,boletus
32.08905,4.282242,boletus
-21.690504,0.70543814,boletus
13.052034,-2.9129436,boletus
-17.920126,-12.34582,boletus
14.668061,-4.042339,boletus
29.077614,0.51663345,boletus
-14.938139,-6.91034,boletus
16.306025,-1.1382478,boletus
-6.322982,11.404678,boletus
-3.3024542,-1.726253,boletus
12.949004,-7.4093156,boletus
6.376931,11.663815,boletus
8.128824,-5.0695934,boletus
-9.6769495,9.887629,boletus
-9.604158,3.7647529,boletus
28.354908,3.2441955,boletus
13.006396,1.0649072,boletus
-11.103541,2.1975532,boletus
-19.808924,-4.9330187,boletus
-0.35864258,-1.4166704,boletus
11.665857,-0.8994588,boletus
20.405117,-6.7437153,boletus
14.791735,-6.197321,boletus
-19.393635,-1.3868442,boletus
1.8126895,-1.7748396,boletus
31.965534,3.8686879,boletus
9.921304,-1.4884658,boletus
-4.4814196,6.8639436,boletus
19.840137,-11.167781,boletus
25.144022,-0.13788709,boletus
-5.987257,-7.8102207,boletus
-16.653387,-2.755788,boletus
-8.023846,-12.673371,boletus
-21.251715,1.1781607,boletus
-14.128461,-14.398939,boletus
-8.404799,2.2229216,boletus
7.9729266,-1.0385537,boletus
13.52507,1.1598431,boletus
29.86539,-1.4008217,boletus
35.33301,3.5196638,boletus
35.694897,-1.5547104,boletus
-8.552132,2.8182905,boletus
4.191376,-14.348275,boletus
33.574223,0.79617107,boletus
-22.218796,4.0672216,boletus
-10.675122,9.939703,boletus
-9.76478,-10.074829,boletus
3.1473305,5.322691,boletus
31.312174,2.2122636,boletus
13.652116,1.1138409,boletus
-6.0418963,-10.087761,boletus
-10.0399475,-9.8912115,boletus
31.930958,3.7854173,boletus
-5.7857537,5.2938137,boletus
14.415479,5.282058,boletus
31.937431,1.0345429,boletus
8.317872,2.5384374,boletus
-13.952017,1.7849663,boletus
8.523942,-1.4465163,boletus
-10.7888155,2.6894665,boletus
22.191666,1.4029108,boletus
12.0800705,3.2746124,boletus
2.490567,-12.780664,boletus
3.5903835,-2.0814352,boletus
12.695585,-0.0150083555,boletus
4.7097726,-1.2084497,boletus
-6.5867057,-1.5339367,boletus
-10.088937,4.49855,boletus
-19.561289,-5.145542,boletus
-6.64104,-11.730167,boletus
5.4012437,-2.3949673,boletus
4.9851265,-12.1252,boletus
-23.63892,1.9927603,boletus
9.352229,-3.4658186,boletus
22.204914,-1.6632003,boletus
16.573862,-1.2073452,boletus
14.834745,3.9703405,boletus
28.267866,0.74437153,boletus
5.212448,6.668973,boletus
32.26036,3.4865086,boletus
-6.716422,9.407507,boletus
8.541881,-4.9222555,boletus
-16.235012,-2.571558,boletus
-2.2032921,8.575022,boletus
9.728425,2.3584518,boletus
6.7522607,-0.8873765,boletus
16.650206,-0.5642534,boletus
4.562268,-3.5455134,boletus
12.328098,1.1131768,boletus
-14.234218,-0.7256161,boletus
-3.4739158,7.9439015,boletus
15.318347,-0.5375087,boletus
1.4963104,-0.582043,boletus
0.7652605,14.019907,boletus
10.1802,-2.3760254,boletus
4.019186,-3.2420485,boletus
-7.0339427,-11.527756,boletus
0.46898052,8.964337,boletus
31.92074,3.9797688,boletus
2.4472952,-1.0292622,boletus
16.891432,5.514064,boletus
-9.115699,3.551935,boletus
9.440124,-7.462172,boletus
-3.8598933,10.33363,boletus
35.605644,-1.6953971,boletus
-6.186184,-9.495081,boletus
-14.869253,4.3786807,boletus
-17.309175,-4.2440605,boletus
-17.73083,3.5701718,boletus
-14.153689,-4.7374144,boletus
-2.9284537,3.8648646,boletus
16.87142,3.8301487,boletus
-13.762438,0.8146938,boletus
13.295964,-3.8001366,boletus
0.19357058,8.427263,boletus
-4.2741046,-3.812841,boletus
-1.228851,8.068943,boletus
6.9029136,-3.210282,boletus
-18.108198,-12.442961,boletus
34.8874,1.2093459,boletus
-5.154415,1.3936977,boletus
0.8847864,2.9408,boletus
-2.699678,4.977879,boletus
11.156544,10.539136,boletus
8.392599,-1.79877,boletus
32.092705,3.7743356,boletus
-3.286218,9.757432,boletus
12.022222,2.9055645,boletus
-13.487112,-7.3085895,boletus
-3.2315202,-12.004483,boletus
-10.132664,3.1968186,boletus
16.47521,2.405495,boletus
-11.997222,-1.7668034,boletus
-2.2651343,-8.266732,boletus
-7.816417,-12.516663,boletus
-4.4083476,-6.447544,boletus
32.243126,1.9045817,boletus
-17.63869,4.149042,boletus
12.287766,-2.2651944,boletus
18.729845,-0.9046077,boletus
15.667484,3.146646,boletus
-13.072592,-2.1628995,boletus
35.177654,2.866407,boletus
33.86612,2.3246527,boletus
-13.91032,-12.243308,boletus
-7.204151,-13.71961,boletus
9.0175,-2.4656677,boletus
-10.068073,-12.215037,boletus
-19.754362,3.398503,boletus
-1.6864111,8.387209,boletus
16.885899,2.9593077,boletus
13.706818,1.2368226,boletus
-1.3075798,-8.358338,boletus
-5.6095285,-9.050404,boletus
6.1390247,6.4245853,boletus
-18.274588,3.392708,boletus
1.4529855,1.6472732,boletus
0.09126919,-2.8053436,boletus
8.126084,-3.7472162,boletus
3.49904,-4.074414,boletus
-19.785286,-6.1838655,boletus
31.224485,3.8004758,boletus
-6.241472,-13.153963,boletus
-5.610275,-8.169486,boletus
30.200897,2.10792,boletus
4.548642,1.1727775,boletus
34.44059,5.292486,boletus
-13.935472,-3.1430023,boletus
-24.090916,4.5282917,boletus
-8.40075,-6.378587,boletus
1.2905568,2.5214684,boletus
29.869514,-0.14353882,boletus
6.127056,-9.86941,boletus
15.01936,1.1942592,boletus
-3.5849676,-7.3350477,boletus
-19.32983,-0.049461983,boletus
-3.502369,5.027727,boletus
31.842613,2.0100617,boletus
7.241063,-0.22812709,boletus
-13.615615,-5.7699847,boletus
-10.113143,-9.758611,boletus
-13.048413,4.618031,boletus
12.106795,-2.6911757,boletus
28.630594,1.4420696,boletus
35.60536,-1.6611367,boletus
-0.8084018,1.6568595,boletus
-3.2580335,-10.393565,boletus
3.6020825,-2.0798233,boletus
18.416952,0.115202285,boletus
9.395808,-2.2660794,boletus
-16.256601,-0.082046725,boletus
-17.202097,0.32630095,boletus
-21.688313,-4.333088,boletus
-3.048063,4.2158437,boletus
-19.893492,4.2603436,boletus
-17.817633,-6.6337404,boletus
-2.275158,-1.7728701,boletus
-2.2002013,-3.4469318,boletus
-5.793865,-8.054219,boletus
9.432961,4.15586,boletus
-7.949132,-13.125851,boletus
-18.903902,9.796058,boletus
-1.9433502,-0.19571286,boletus
-15.900451,-4.769033,boletus
7.8423915,-6.0235167,boletus
11.018548,-3.4737215,boletus
-17.037796,0.9185831,boletus
5.6417356,5.707705,boletus
-3.9314232,11.595298,boletus
0.39283234,-4.090453,boletus
-12.910421,8.724541,boletus
-8.013661,-7.3765574,boletus
12.21657,-0.4778186,boletus
14.831878,0.065804906,chantelle
9.399635,2.778618,chantelle
-18.445677,1.5831827,chantelle
6.902672,7.762035,chantelle
2.878279,8.259393,chantelle
18.13085,1.3742461,chantelle
2.8066747,2.0788274,chantelle
0.037086487,5.229844,chantelle
-14.68568,-4.8066607,chantelle
-8.259111,-1.1788119,chantelle
13.982912,5.653509,chantelle
20.51869,1.733918,chantelle
30.753426,0.27944005,chantelle
-17.090923,-2.2010732,chantelle
-6.0719504,0.14618127,chantelle
6.3827534,7.26333,chantelle
15.658353,1.9358153,chantelle
32.459133,2.389743,chantelle
12.068498,4.3143964,chantelle
33.963367,5.0361724,chantelle
-11.011704,-3.1045601,chantelle
-13.645981,-7.101929,chantelle
-15.068336,8.391676,chantelle
10.461169,9.251075,chantelle
14.682859,2.4084144,chantelle
-8.262125,0.12697604,chantelle
-0.24084833,11.545824,chantelle
34.541275,4.431595,chantelle
-5.581493,13.951293,chantelle
0.8074755,7.3938975,chantelle
3.693317,6.2926774,chantelle
-14.4349785,-10.662112,chantelle
34.24547,2.2341363,chantelle
1.855332,11.303006,chantelle
-5.939638,3.4640212,chantelle
17.02957,1.2193836,chantelle
17.134314,0.30697587,chantelle
4.565385,9.010502,chantelle
31.63998,3.066164,chantelle
10.578553,-4.422737,chantelle
-19.194582,-7.411012,chantelle
-15.683461,2.889285,chantelle
-5.7418213,4.4920506,chantelle
-12.904916,-10.968257,chantelle
-0.740261,10.654805,chantelle
-21.67027,1.7390683,chantelle
8.856669,2.2838771,chantelle
34.169632,3.0877147,chantelle
-8.696062,1.3182647,chantelle
5.439553,-3.1955032,chantelle
-3.0917659,0.84083915,chantelle
-8.270368,2.4942038,chantelle
29.076242,1.2251205,chantelle
33.059666,1.1338439,chantelle
-15.9868145,-0.6727766,chantelle
33.68208,3.6038206,chantelle
-15.131542,-10.641927,chantelle
-10.014784,12.518731,chantelle
10.872703,-4.09696,chantelle
-22.153416,0.58004737,chantelle
8.867071,8.234084,chantelle
27.520994,1.3323646,chantelle
-24.542946,5.2500315,chantelle
7.6070886,9.067705,chantelle
-4.2740607,3.800664,chantelle
-18.334955,-1.355515,chantelle
8.491052,-0.7147486,chantelle
9.666789,3.4003274,chantelle
6.175311,7.0734534,chantelle
15.985419,2.2818418,chantelle
3.422151,7.032856,chantelle
-8.165988,9.413724,chantelle
14.658886,-4.998621,chantelle
1.0848663,6.55543,chantelle
-7.9681134,1.2293614,chantelle
-14.297702,3.2344143,chantelle
13.048161,-7.571766,chantelle
6.9813867,4.2688303,chantelle
3.697435,-2.6748016,chantelle
-13.0819645,2.7188609,chantelle
32.798706,3.1293132,chantelle
7.6896257,-2.3739629,chantelle
30.088017,4.552101,chantelle
33.718796,3.202983,chantelle
18.851757,1.194195,chantelle
7.0844483,8.681471,chantelle
6.581781,7.698706,chantelle
-24.040592,2.7131996,chantelle
11.144294,4.55809,chantelle
34.499,4.3221254,chantelle
13.055009,3.1758783,chantelle
33.984608,2.428493,chantelle
3.9425557,1.7494603,chantelle
6.505164,7.205445,chantelle
20.539278,-0.98582906,chantelle
31.010233,0.680576,chantelle
12.591884,-4.263162,chantelle
